name,description,lat,lng,radius,image,priority,isStopStation
"Chợ Bến Thành","Chợ Bến Thành là biểu tượng lâu đời của Sài Gòn, nổi bật với tháp đồng hồ ở cửa Nam. Khu chợ có hàng trăm quầy hàng ẩm thực, thủ công mỹ nghệ và đặc sản địa phương, phù hợp để bắt đầu hành trình khám phá trung tâm thành phố.",10.77252,106.69805,70,"",10,1
"Nhà hát Thành phố","Nhà hát Thành phố được xây dựng theo phong cách kiến trúc Pháp cuối thế kỷ 19. Đây là địa điểm biểu diễn nghệ thuật, nhạc kịch và các chương trình văn hóa lớn của TP.HCM, đặc biệt đẹp vào buổi tối khi khu vực trung tâm lên đèn.",10.77662,106.70326,65,"",9,1
"Trụ sở Ủy ban Nhân dân TP.HCM","Trụ sở Ủy ban Nhân dân TP.HCM là công trình kiến trúc cổ điển Pháp nổi bật trên trục đường Nguyễn Huệ - Lê Thánh Tôn. Tòa nhà mang giá trị lịch sử và là điểm check-in kiến trúc quen thuộc của du khách khi tham quan trung tâm quận 1.",10.77695,106.69949,60,"",8,1
"Dinh Độc Lập","Dinh Độc Lập là di tích lịch sử quốc gia đặc biệt, gắn với nhiều sự kiện quan trọng của Việt Nam hiện đại. Khuôn viên rộng, kiến trúc hiện đại kết hợp yếu tố Á Đông, phù hợp cho trải nghiệm tìm hiểu lịch sử và tham quan bảo tàng.",10.77713,106.69531,60,"",7,1
"Nhà thờ Đức Bà","Nhà thờ Đức Bà là công trình tôn giáo nổi tiếng với mặt tiền gạch đỏ và hai tháp chuông đặc trưng. Khu vực Công xã Paris xung quanh là không gian đi bộ, cà phê và tham quan kiến trúc tiêu biểu của Sài Gòn xưa.",10.77978,106.69902,58,"",6,1
"Bưu điện Thành phố","Bưu điện Thành phố nằm cạnh Nhà thờ Đức Bà, có kiến trúc cổ điển với mái vòm cao và sảnh chính rộng. Bên trong vẫn hoạt động bưu chính và là điểm tham quan nhiếp ảnh nổi tiếng nhờ không gian nội thất mang dấu ấn thời gian.",10.77956,106.70049,55,"",5,1
"Bảo tàng Chứng tích Chiến tranh","Bảo tàng Chứng tích Chiến tranh trưng bày tài liệu, hình ảnh và hiện vật phản ánh giai đoạn chiến tranh tại Việt Nam. Không gian triển lãm giúp du khách có góc nhìn lịch sử sâu sắc và nhân văn về quá khứ.",10.77937,106.69134,55,"",4,1
"Bảo tàng Lịch sử","Bảo tàng Lịch sử giới thiệu nhiều bộ sưu tập hiện vật quý từ thời tiền sử đến cận đại, kết hợp kiến trúc Đông Dương đặc trưng. Đây là điểm đến phù hợp cho hành trình tìm hiểu văn hóa - lịch sử Việt Nam theo chiều sâu.",10.78693,106.70252,55,"",3,1
"Thảo Cầm Viên Sài Gòn","Thảo Cầm Viên Sài Gòn là một trong những vườn thú - vườn thực vật lâu đời của khu vực, có không gian xanh lớn ngay trung tâm thành phố. Địa điểm phù hợp cho gia đình, nghỉ chân thư giãn và trải nghiệm gần gũi thiên nhiên.",10.78743,106.70452,60,"",2,1
"Saigon Skydeck","Saigon Skydeck tại tòa nhà Bitexco mang đến góc nhìn toàn cảnh 360 độ trung tâm TP.HCM từ trên cao. Đây là điểm kết thúc lý tưởng cho tuyến tham quan, đặc biệt vào khung giờ hoàng hôn và buổi tối.",10.77168,106.70411,60,"",1,1
